SampleName	Provided_Breeds	BreedQC	DiseaseAcronym
B00E00S-T	Poodle	Pass QC	OM
CMT-215	Poodle	Pass QC	MT
CMT-54	Poodle	Pass QC	MT
CMT-652	Poodle	Pass QC	MT
CMT-360	Poodle	Pass QC	MT
CMT-606	Poodle	Pass QC	MT
CMT-252	Poodle	Pass QC	MT
CMT-307	Poodle	Pass QC	MT
CMT-456	Poodle	Pass QC	MT
B00E010-1	Poodle	Pass QC	OM
Poodle22	Poodle	Pass QC	UCL
B00E01M-N	Poodle	Pass QC	OM
CMT-246	Poodle	Pass QC	MT
B00E01I-J	Poodle	Pass QC	OM
DD0342	NA	Pass QC	UC
B00E018-9	Poodle	Pass QC	OM
B00E00E-F	Poodle	Pass QC	OM
B00E00I-J	Poodle	Pass QC	OM
DD0284	NA	Pass QC	UC
B00E00G-H	Poodle	Pass QC	OM
Poodle2	Poodle	Pass QC	UCL
B00E012-3	Poodle	Pass QC	OM
B00E016-7	Poodle	Pass QC	OM
B00E00W-X	Poodle	Pass QC	OM
Poodle10	Poodle	Pass QC	UCL
CCB070213_URen	Poodle	Pass QC	OM
DD0275	NA	Pass QC	UC
Poodle9	Poodle	Pass QC	UCL
B00E00U-V	Poodle	Pass QC	OM
B00E01G-H	Poodle	Pass QC	OM
Poodle19	Poodle	Pass QC	UCL
B00E00Y-Z	Poodle	Pass QC	OM
Poodle23	Poodle	Pass QC	UCL
B00E01O-P	Poodle	Pass QC	OM
Poodle7	Poodle	Pass QC	UCL
